company,description,summary
AAPL,"Company Description Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide.The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod.It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts.In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property.The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets.It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers.Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.","Apple Inc. is a technology company that designs, manufactures, and markets various electronic devices and accessories worldwide. The company offers a range of products, including smartphones, personal computers, tablets, wearables, and accessories. Apple also provides cloud services and support through its AppleCare platform, and operates various platforms such as the App Store, which allows customers to download applications and digital content. Additionally, the company offers various services such as Apple Arcade, Apple Fitness+, and Apple Music. Apple serves consumers, small and mid-sized businesses, and the education, enterprise, and government markets. The company distributes third-party applications for its products through the App Store and sells its products through its retail and online stores, as well as third-party cellular network carriers, wholesalers, retailers, and resellers. Apple was incorporated in 1977 and is headquartered in Cupertino, California."
MSFT,"Company Description Microsoft Corporation develops and supports software, services, devices and solutions worldwide.The Productivity and Business Processes segment offers office, exchange, SharePoint, Microsoft Teams, office 365 Security and Compliance, Microsoft viva, and Microsoft 365 copilot; and office consumer services, such as Microsoft 365 consumer subscriptions, Office licensed on-premises, and other office services.This segment also provides LinkedIn; and dynamics business solutions, including Dynamics 365, a set of intelligent, cloud-based applications across ERP, CRM, power apps, and power automate; and on-premises ERP and CRM applications.The Intelligent Cloud segment provides server products and cloud services, such as azure and other cloud services; SQL and windows server, visual studio, system center, and related client access licenses, as well as nuance and GitHub; and enterprise services including enterprise support services, industry solutions, and nuance professional services.The More Personal Computing segment offers Windows, including windows OEM licensing and other non-volume licensing of the Windows operating system; Windows commercial comprising volume licensing of the Windows operating system, windows cloud services, and other Windows commercial offerings; patent licensing; and windows Internet of Things; and devices, such as surface, HoloLens, and PC accessories.Additionally, this segment provides gaming, which includes Xbox hardware and content, and first- and third-party content; Xbox game pass and other subscriptions, cloud gaming, advertising, third-party disc royalties, and other cloud services; and search and news advertising, which includes Bing, Microsoft News and Edge, and third-party affiliates.The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online, and retail stores.The company was founded in 1975 and is headquartered in Redmond, Washington.","Microsoft Corporation is a multinational technology company that develops and supports software, services, devices, and solutions worldwide. The company operates in three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment offers a range of office and collaboration tools, including Microsoft Teams, Office 365, and LinkedIn. The Intelligent Cloud segment provides cloud services, such as Azure, as well as enterprise services and solutions. The More Personal Computing segment offers Windows operating system, gaming and entertainment products, and devices. Microsoft sells its products through various channels, including OEMs, distributors, resellers, and digital marketplaces. The company was founded in 1975 and is headquartered in Redmond, Washington."
NVDA,"Company Description NVIDIA Corporation provides graphics, and compute and networking solutions in the United States, Taiwan, China, and internationally.The company's Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building 3D designs and virtual worlds.Its Compute & Networking segment provides Data Center platforms and systems for AI, HPC, and accelerated computing; Mellanox networking and interconnect solutions; automotive AI Cockpit, autonomous driving development agreements, and autonomous vehicle solutions; cryptocurrency mining processors; Jetson for robotics and other embedded platforms; and NVIDIA AI Enterprise and other software.The company's products are used in gaming, professional visualization, datacenter, and automotive markets.NVIDIA Corporation sells its products to original equipment manufacturers, original device manufacturers, system builders, add-in board manufacturers, retailers/distributors, independent software vendors, Internet and cloud service providers, automotive manufacturers and tier-1 automotive suppliers, mapping companies, start-ups, and other ecosystem participants.It has a strategic collaboration with Kroger Co. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California.","NVIDIA Corporation is a US-based company that offers graphics, compute, and networking solutions for various industries. Its Graphics segment includes gaming GPUs, game streaming services, and enterprise workstation graphics, while its Compute & Networking segment provides data center platforms, networking solutions, and automotive AI solutions. NVIDIA's products are used in gaming, professional visualization, datacenter, and automotive markets, and the company sells its products to various customers, including original equipment manufacturers, system builders, and automotive manufacturers. NVIDIA has a strategic collaboration with Kroger Co. and was incorporated in 1993. The company is headquartered in Santa Clara, California."
AVGO,"Company Description Broadcom Inc. designs, develops, and supplies various semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide.The company operates in two segments, Semiconductor Solutions and Infrastructure Software. It provides set-top box system-on-chips (SoCs); cable, digital subscriber line, and passive optical networking central office/consumer premise equipment SoCs; wireless local area network access point SoCs; Ethernet switching and routing custom silicon solutions; embedded processors and controllers; serializer/deserializer application specific integrated circuits; optical and copper, and physical layer devices; and fiber optic components and RF semiconductor devices.The company also offers RF front end modules and filter; Wi-Fi, Bluetooth, and global positioning system/global navigation satellite system SoCs; custom touch controllers; custom touch controllers; inductive charging; attached small computer system interface, and redundant array of independent disks controllers and adapters; peripheral component interconnect express; fiber channel host bus adapters; read channel based SoCs; custom flash controllers; preamplifiers; optocouplers, industrial fiber optics, and motion control encoders and subsystems; light emitting diode, ethernet PHYs, switch ICs, and camera microcontrollers.Its products are used in various applications, including enterprise and data center networking, home connectivity, set-top boxes, broadband access, telecommunication equipment, smartphones and base stations, data center servers and storage systems, factory automation, power generation and alternative energy systems, and electronic displays.Broadcom Inc. was incorporated in 2018 and is headquartered in San Jose, California.","Broadcom Inc. is a semiconductor device manufacturer that designs, develops, and supplies various digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide. The company operates in two segments, Semiconductor Solutions and Infrastructure Software, and provides a range of products including set-top box system-on-chips, cable, digital subscriber line, and passive optical networking central office/consumer premise equipment SoCs, wireless local area network access point SoCs, and more. Its products are used in various applications, including enterprise and data center networking, home connectivity, set-top boxes, broadband access, telecommunication equipment, smartphones and base stations, data center servers and storage systems, factory automation, power generation and alternative energy systems, and electronic displays. Broadcom Inc. was incorporated in 2018 and is headquartered in San Jose, California."
ADBE,"Company Description Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide.It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising.The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform.Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products.This segment serves content creators, students, workers, marketers, educators, enthusiasts, communicators, and consumers.The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce.This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite.The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings.The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com.It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers.The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018.Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.","Adobe Inc. is a diversified software company that operates worldwide through three segments: Digital Media, Digital Experience, and Publishing and Advertising. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences. The Publishing and Advertising segment offers products and services such as e-learning solutions, technical document publishing, web conferencing, and Advertising Cloud offerings. Adobe Inc. offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and its website. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California."
CSCO,"Company Description Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China.The company also offers switching portfolio encompasses campus switching as well as data center switching; enterprise routing portfolio interconnects public and private wireline and mobile networks, delivering highly secure, and reliable connectivity to campus, data center and branch networks; wireless products include wireless access points and controllers; and compute portfolio including the cisco unified computing system, hyperflex, and software management capabilities, which combine computing, networking, and storage infrastructure management and virtualization.In addition, it provides Internet for the future product consists of routed optical networking, 5G, silicon, and optics solutions; collaboration products, such as meetings, collaboration devices, calling, contact center, and communication platform as a service; end-to-end security product consists of network security, cloud security, security endpoints, unified threat management, and zero trust; and optimized application experiences products including full stack observability and network assurance.Further, the company offers a range of service and support options for its customers, including technical support and advanced services and advisory services.It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors.Cisco Systems, Inc. has strategic alliances with other companies. Cisco Systems, Inc. was incorporated in 1984 and is headquartered in San Jose, California.","Cisco Systems, Inc. is a multinational technology company that designs, manufactures, and sells networking and other products related to the communications and information technology industry. The company offers a range of products, including switching, routing, wireless, compute, and security solutions, as well as collaboration, optimized application experiences, and service and support options. Cisco Systems, Inc. serves businesses of various sizes, public institutions, governments, and service providers, and sells its products and services directly and through resellers and distributors. The company has strategic alliances with other companies and was incorporated in 1984 and is headquartered in San Jose, California."
CRM,"Company Description Salesforce, Inc. provides Customer Relationship Management (CRM) technology that brings companies and customers together worldwide.The company's service includes sales to store data, monitor leads and progress, forecast opportunities, gain insights through analytics and relationship intelligence, and deliver quotes, contracts, and invoices; and service that enables companies to deliver trusted and highly personalized customer service and support at scale.In addition, its platform offering comprise a flexible platform that enables companies of various sizes, locations, and industries to build business apps with drag-and-drop tools; online learning platform that allows anyone to learn in-demand Salesforce skills; and Slack, a system of engagement.The company's marketing services enables companies to plan, personalize, and optimize customer marketing journey and real time personalization and optimization; and commerce services, which empowers shopping experience across various points of commerce, such as mobile, web, social, and stores and provides click-to-code tools that offers customers to build and deploy solutions.Further, its analytics offering includes Tableau, an end-to-end analytics solution for range of enterprise use cases and intelligent analytics with advanced AI models, spot trends, predict outcomes, timely recommendations, and take action from any device; and integration service including MuleSoft, an easy to connect data from any system to deliver connected experiences.Additionally, the company provides genie customer data cloud, a hyperscale real-time data platform that powers the customer 360 platform; vertical services to meet the needs of customers in industries, such as financial services, healthcare and life sciences, manufacturing and others; and offers salesforce easy for small and medium-sized businesses.Salesforce, Inc. was incorporated in 1999 and is headquartered in San Francisco, California.","Salesforce, Inc. is a company that provides CRM technology to bring companies and customers together worldwide. Its service includes sales, analytics, and service that enables companies to deliver personalized customer service and support at scale. The company's platform offers a flexible tool for building business apps, an online learning platform, and a system of engagement. Its marketing and commerce services provide real-time personalization and optimization, and its analytics offering includes Tableau and intelligent analytics. The company also provides integration services and a hyperscale real-time data platform. Salesforce, Inc. was founded in 1999 and is headquartered in San Francisco, California."
ACN,"Company Description Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide.The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services.It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services.In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation.Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services.The company has a collaboration with Amazon Web Services to develop cross-industry solutions. The company was founded in 1951 and is based in Dublin, Ireland.","Accenture plc is a professional services company that offers a wide range of services worldwide. The company provides strategy and consulting, interactive, industry X, song, and technology and operation services. It offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation, and application management services. Additionally, the company provides strategy and consulting services, data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions. The company also offers change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services. It provides digital commerce, infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services. The company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems. It also provides business process outsourcing and services related to technology innovation. The company has a collaboration with Amazon Web Services to develop cross-industry solutions. The company was founded in 1951 and is based in Dublin, Ireland."
ORCL,"Company Description Oracle Corporation offers products and services that address enterprise information technology environments worldwide.Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Cerner healthcare, Oracle Advertising, and NetSuite applications suite, as well as Oracle Fusion Sales, Service, and Marketing.The company also offers cloud-based industry solutions for various industries; Oracle application licenses; and Oracle license support services.In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database and MySQL Database; Java, a software development language; and middleware, including development tools and others.The company's cloud and license business' infrastructure technologies also comprise cloud-based compute, storage, and networking capabilities; and Oracle autonomous database, MySQL HeatWave, Internet-of-Things, digital assistant, and blockchain.Further, it provides hardware products and other hardware-related software offerings, including Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services; and consulting and customer services.The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels.The company has a collaboration with Amdocs Limited to empower customers on their journey towards cloud and digital adoption.Oracle Corporation was founded in 1977 and is headquartered in Austin, Texas.","Oracle Corporation is a global technology company that offers a range of products and services for enterprise information technology environments. Its cloud software as a service offerings include various cloud software applications, such as Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, and Oracle Fusion cloud supply chain and manufacturing management. The company also offers cloud-based industry solutions for various industries, Oracle application licenses, and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database and MySQL Database; Java, a software development language; and middleware, including development tools and others. Oracle also offers hardware products and other hardware-related software offerings, such as Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services. The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels. Oracle was founded in 1977 and is headquartered in Austin, Texas."
AMD,"Company Description Advanced Micro Devices, Inc. operates as a semiconductor company worldwide.It operates in four segments: Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products.It also provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name.In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; embedded processor solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand.It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, online and brick and mortar retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives.The company was incorporated in 1969 and is headquartered in Santa Clara, California.","Advanced Micro Devices, Inc. (AMD) is a semiconductor company that operates worldwide. The company operates in four segments: Data Center, Client, Gaming, and Embedded. AMD offers a range of products, including x86 microprocessors, GPUs, chipsets, data center, and professional GPUs; embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, FPGA, and adaptive SoC products. The company serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, online and brick and mortar retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. AMD was incorporated in 1969 and is headquartered in Santa Clara, California."
